All calculations,GG_01,GG_02,PQ_Meas_GG01_11kV,PQ_Meas_GG02_11kV,PQ_Meas_RL01_11kV,PQ_Meas_RL02_11kV,PQ_Meas_WF_11kV,PQ_Meas_ESS_TR_11kV,PQ_Meas_LV_Load_11kV,PQ_Meas_WT1_33kV,PQ_Meas_WT2_33kV,PQ_Meas_WT3_33kV,GG_01
"b:tnow in s","s:xspeed in p.u.","s:xspeed in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:ut in p.u."
-0.032176,0.999760,0.999814,17.205184,16.994349,44.704142,0.000000,11.681856,-0.352950,0.824297,3.955245,3.951844,3.950379,1.009564
-0.031520,0.999758,0.999812,17.212605,16.997017,44.695020,0.000000,11.674434,-0.364932,0.824104,3.952177,3.946487,3.958061,1.009566
-0.030850,0.999756,0.999811,17.219572,16.993808,44.717689,0.000000,11.687240,-0.358408,0.824523,3.969475,3.964029,3.954985,1.009822
-0.030115,0.999753,0.999809,17.216127,16.974678,44.703961,0.000000,11.668088,-0.330607,0.824326,3.945592,3.941884,3.938327,1.009304
-0.029415,0.999751,0.999808,17.211885,16.987388,44.706630,0.000000,11.660861,-0.329157,0.824347,3.954612,3.955057,3.954571,1.009690
-0.028733,0.999749,0.999806,17.195930,16.987188,44.717939,0.000000,11.689530,-0.330174,0.824535,3.956230,3.952518,3.950510,1.009870
-0.028062,0.999747,0.999805,17.189368,17.005353,44.705277,0.000000,11.678929,-0.344075,0.824299,3.952361,3.947675,3.958348,1.009634
-0.027360,0.999745,0.999803,17.195194,17.022980,44.745181,0.000000,11.679799,-0.327711,0.825080,3.962010,3.956107,3.958463,1.010107
-0.026665,0.999743,0.999802,17.159257,17.020660,44.705161,0.000000,11.655594,-0.306005,0.824344,3.943879,3.938426,3.941709,1.009327
-0.025926,0.999741,0.999800,17.141855,17.042845,44.722848,0.000000,11.668694,-0.305890,0.824656,3.953707,3.948669,3.956619,1.009812
-0.025253,0.999739,0.999798,17.110659,17.054248,44.714107,0.000000,11.684076,-0.310404,0.824471,3.954687,3.948756,3.958901,1.009680
-0.024543,0.999737,0.999796,17.098390,17.085291,44.714531,0.000000,11.671213,-0.315900,0.824463,3.945910,3.936464,3.951529,1.009776
-0.023867,0.999735,0.999795,17.092517,17.103246,44.730844,0.000000,11.657739,-0.297856,0.824803,3.950023,3.940588,3.959106,1.009841
-0.023142,0.999733,0.999793,17.069386,17.109336,44.720017,0.000000,11.648491,-0.282579,0.824615,3.946060,3.936695,3.952413,1.009622
-0.022461,0.999731,0.999791,17.044356,17.123462,44.726745,0.000000,11.667155,-0.283533,0.824695,3.951334,3.944341,3.957283,1.009966
-0.021721,0.999730,0.999789,17.033753,17.134396,44.728748,0.000000,11.678972,-0.293641,0.824732,3.952462,3.941914,3.962753,1.009968
