All calculations,Vmesa_ESS_690V,ESS_GC,PQ_Meas_BCs_CurrentSource,ESS_GC,ESS_GC,BC_DCLinkSide,FC_DCLinkSide
"b:tnow in s","s:u in p.u.","m:Psum:busac in MW","s:p in p.u.","s:uDC in p.u.","s:iDC in p.u.","s:i0dc in p.u.","s:i0dc in p.u."
0.077001,1.014231,-0.176659,0.071312,0.997715,-0.017766,0.030331,0.000387
0.077740,1.014711,-0.178745,0.078864,0.997456,-0.010251,0.030473,0.000388
0.078446,1.016554,-0.163516,0.082939,0.997949,-0.006034,0.030603,0.000390
0.079119,1.016476,-0.170357,0.079775,0.998434,-0.008666,0.030719,0.000392
0.079792,1.015633,-0.170798,0.073228,0.998166,-0.016535,0.030843,0.000393
0.080530,1.013551,-0.190973,0.063961,0.997687,-0.016721,0.030979,0.000395
0.081272,1.014451,-0.180050,0.055814,0.997619,-0.010073,0.031124,0.000397
0.081938,1.016063,-0.178043,0.058945,0.998283,-0.006182,0.031252,0.000399
0.082646,1.015975,-0.182219,0.059789,0.998587,-0.013064,0.031370,0.000400
0.083341,1.014586,-0.178527,0.070325,0.998207,-0.017933,0.031508,0.000402
0.084086,1.015150,-0.166518,0.075920,0.997794,-0.015422,0.031656,0.000404
0.084819,1.015050,-0.172526,0.087005,0.997912,-0.006963,0.031799,0.000406
0.085461,1.017482,-0.155392,0.085500,0.998626,-0.006574,0.031926,0.000407
0.086140,1.016349,-0.167610,0.080944,0.998734,-0.012915,0.032046,0.000409
0.086869,1.014508,-0.167123,0.067446,0.998235,-0.018623,0.032189,0.000411
0.087579,1.014370,-0.174619,0.065475,0.997877,-0.015021,0.032335,0.000413
0.088266,1.015764,-0.157012,0.056849,0.998183,-0.006997,0.032480,0.000414
0.088938,1.015048,-0.194676,0.063301,0.998787,-0.010591,0.032604,0.000416
0.089684,1.015784,-0.166225,0.065489,0.998679,-0.017484,0.032736,0.000418
0.090441,1.014113,-0.164528,0.077546,0.998119,-0.018381,0.032891,0.000420
0.091123,1.015321,-0.156962,0.087220,0.997885,-0.011745,0.033042,0.000422
0.091816,1.017327,-0.136294,0.092107,0.998411,-0.006172,0.033180,0.000424
0.092517,1.017031,-0.149849,0.085347,0.998824,-0.010970,0.033301,0.000425
0.093212,1.014871,-0.166690,0.078204,0.998476,-0.018230,0.033433,0.000427
0.093933,1.013896,-0.166548,0.068756,0.997983,-0.017378,0.033580,0.000429
0.094638,1.014780,-0.159214,0.061744,0.997897,-0.011813,0.033725,0.000431
0.095280,1.016266,-0.155029,0.059815,0.998524,-0.007379,0.033856,0.000433
0.095959,1.015638,-0.170993,0.069354,0.998742,-0.016034,0.033982,0.000435
0.096730,1.013855,-0.172080,0.075036,0.998302,-0.019065,0.034127,0.000436
0.097474,1.014853,-0.161751,0.081838,0.997862,-0.017600,0.034280,0.000438
0.098158,1.015982,-0.143766,0.096360,0.998074,-0.006574,0.034430,0.000440
0.098862,1.016979,-0.147252,0.090735,0.998732,-0.008904,0.034558,0.000442
0.099559,1.015878,-0.161439,0.087134,0.998734,-0.015153,0.034685,0.000444
0.100292,1.014337,-0.156309,0.073039,0.998232,-0.018866,0.034832,0.000446
0.101024,1.013639,-0.178564,0.067499,0.997964,-0.014735,0.034984,0.000448
0.101719,1.015827,-0.148706,0.061201,0.998406,-0.007134,0.035128,0.000450
0.102353,1.015964,-0.171426,0.069967,0.998962,-0.012890,0.035255,0.000452
0.103091,1.014987,-0.169874,0.072793,0.998798,-0.018471,0.035393,0.000453
0.103869,1.014220,-0.161379,0.082251,0.998294,-0.020015,0.035553,0.000456
0.104557,1.015451,-0.144411,0.097285,0.998186,-0.010078,0.035710,0.000458
