All calculations,ESS 690V PLL Type 1 Model 3,PLL_WT1_690V_G,PLL_WT2_690V_G,PLL_WT3_690V_G,GG_01,GG_02
"b:tnow in s","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:xspeed in p.u.","s:xspeed in p.u."
0.761937,0.999096,0.999246,0.999246,0.999253,0.999267,0.999303
0.762671,0.999136,0.999141,0.999141,0.999166,0.999268,0.999304
0.763340,0.999117,0.999153,0.999153,0.999144,0.999268,0.999304
0.764069,0.999060,0.998965,0.998965,0.998965,0.999269,0.999305
0.764739,0.999134,0.999016,0.999016,0.999039,0.999270,0.999306
0.765463,0.999161,0.999236,0.999236,0.999267,0.999271,0.999307
0.766145,0.999042,0.999116,0.999116,0.999188,0.999272,0.999308
0.766868,0.999013,0.999075,0.999075,0.999030,0.999272,0.999309
0.767596,0.999032,0.999162,0.999162,0.999138,0.999273,0.999310
0.768284,0.999084,0.999050,0.999050,0.999086,0.999274,0.999310
0.769036,0.999153,0.999164,0.999164,0.999190,0.999275,0.999311
0.769680,0.999097,0.999177,0.999177,0.999193,0.999275,0.999312
0.770377,0.999122,0.998937,0.998937,0.998960,0.999276,0.999313
0.771086,0.999081,0.999071,0.999071,0.999068,0.999277,0.999314
0.771830,0.999184,0.999171,0.999171,0.999198,0.999278,0.999315
0.772529,0.999121,0.999138,0.999138,0.999203,0.999278,0.999316
0.773245,0.998961,0.999195,0.999195,0.999159,0.999279,0.999316
0.773926,0.999073,0.999062,0.999062,0.999048,0.999280,0.999317
0.774613,0.999044,0.998966,0.998966,0.998988,0.999281,0.999318
0.775334,0.999144,0.999228,0.999228,0.999253,0.999282,0.999319
0.776026,0.999153,0.999199,0.999199,0.999257,0.999282,0.999320
0.776685,0.999083,0.999075,0.999075,0.999057,0.999283,0.999321
0.777408,0.999158,0.999177,0.999177,0.999155,0.999284,0.999322
0.778117,0.999115,0.999069,0.999069,0.999063,0.999285,0.999322
0.778853,0.999178,0.999115,0.999115,0.999171,0.999286,0.999323
0.779538,0.999070,0.999265,0.999265,0.999264,0.999287,0.999324
0.780240,0.998968,0.999018,0.999018,0.999020,0.999288,0.999325
0.780930,0.999087,0.999000,0.999000,0.999017,0.999289,0.999326
0.781639,0.999116,0.999302,0.999302,0.999310,0.999289,0.999327
0.782335,0.999178,0.999182,0.999182,0.999227,0.999290,0.999328
0.783049,0.999157,0.999210,0.999210,0.999182,0.999291,0.999328
0.783724,0.999072,0.999131,0.999131,0.999111,0.999292,0.999329
0.784459,0.999162,0.998966,0.998966,0.998977,0.999293,0.999330
0.785122,0.999164,0.999157,0.999157,0.999185,0.999294,0.999331
0.785767,0.999138,0.999237,0.999237,0.999284,0.999294,0.999332
0.786515,0.999034,0.999119,0.999119,0.999134,0.999295,0.999333
0.787215,0.998997,0.999167,0.999167,0.999137,0.999296,0.999334
0.787886,0.999143,0.999088,0.999088,0.999085,0.999297,0.999334
0.788636,0.999117,0.999120,0.999120,0.999158,0.999298,0.999335
0.789323,0.999157,0.999282,0.999282,0.999311,0.999298,0.999336
0.789974,0.999164,0.999062,0.999062,0.999074,0.999299,0.999337
0.790712,0.999057,0.999046,0.999046,0.999046,0.999300,0.999338
0.791389,0.999215,0.999189,0.999189,0.999203,0.999301,0.999339
0.792134,0.999172,0.999171,0.999171,0.999203,0.999302,0.999340
0.792844,0.999060,0.999216,0.999216,0.999227,0.999302,0.999340
0.793515,0.999042,0.999158,0.999158,0.999148,0.999303,0.999341
0.794203,0.999056,0.998944,0.998944,0.998946,0.999304,0.999342
0.794924,0.999128,0.999179,0.999179,0.999210,0.999305,0.999343
0.795635,0.999192,0.999291,0.999291,0.999328,0.999306,0.999344
0.796278,0.999135,0.999145,0.999145,0.999171,0.999307,0.999345
0.797016,0.999160,0.999196,0.999196,0.999160,0.999307,0.999345
0.797707,0.999102,0.999055,0.999055,0.999051,0.999308,0.999346
0.798419,0.999212,0.999041,0.999041,0.999077,0.999309,0.999347
0.799131,0.999169,0.999316,0.999316,0.999329,0.999310,0.999348
0.799839,0.999014,0.999164,0.999164,0.999170,0.999311,0.999349
0.800536,0.999081,0.999020,0.999020,0.999043,0.999312,0.999350
0.801259,0.999126,0.999289,0.999289,0.999273,0.999313,0.999351
0.801916,0.999158,0.999214,0.999214,0.999226,0.999314,0.999351
0.802640,0.999213,0.999236,0.999236,0.999256,0.999315,0.999352
0.803283,0.999115,0.999179,0.999179,0.999174,0.999315,0.999353
0.803991,0.999163,0.998969,0.998969,0.998984,0.999316,0.999354
0.804713,0.999149,0.999148,0.999148,0.999154,0.999317,0.999355
0.805348,0.999222,0.999252,0.999252,0.999285,0.999318,0.999356
0.806075,0.999135,0.999182,0.999182,0.999233,0.999319,0.999357
0.806821,0.998996,0.999222,0.999222,0.999190,0.999320,0.999357
0.807493,0.999158,0.999077,0.999077,0.999066,0.999321,0.999358
0.808213,0.999077,0.999071,0.999071,0.999104,0.999322,0.999359
0.808919,0.999200,0.999329,0.999329,0.999350,0.999322,0.999360
0.809565,0.999196,0.999170,0.999170,0.999243,0.999323,0.999361
0.810284,0.999106,0.999104,0.999104,0.999068,0.999324,0.999362
0.810994,0.999204,0.999230,0.999230,0.999215,0.999325,0.999362
0.811714,0.999184,0.999092,0.999092,0.999117,0.999326,0.999363
0.812435,0.999182,0.999217,0.999217,0.999245,0.999327,0.999364
0.813080,0.999084,0.999229,0.999229,0.999251,0.999327,0.999365
0.813768,0.999026,0.999004,0.999004,0.999027,0.999328,0.999366
